        DeicingLoadShedding, Сброс нагрузки защиты от обледенения
        PartialHeatingLoadShedding, Сброс нагрузки частичного подогрева
        CompleteHeatingLoadShedding, Сброс нагрузки полного подогрева
        AirConditioningBlowerLoadShedding, Сброс нагрузки нагнетателя кондиционера
        AirConditioningCompressorLoadShedding, Сброс нагрузки компрессора кондиционера
        ReservoirCap, Крышка бака
        PlusVanSupply, Напряжение "+" VAN
        LeftBlownAirTemperature, Температура воздуха левого воздуховода
        RightBlownAirTemperature, Температура воздуха правого воздуховода
        BlowerCopyVoltage, Дублированное напряжение вентилятора печки
        VoltageValueOnBlower, Напряжение на системе подачи воздуха печки
        MixingStatusLeft, Состояние системы смешивания – левый
        MixingStatusRight, Состояние системы смешивания – правый
        DistributionStatus, Состояние распределения
        RecirculationStatus, Состояние рециркуляции
        FanAssemblyControl, Контроль вентилятора
        ConditionerCoolingCircuitPressure, Давление в контуре кондиционера воздуха
        VehicleSpeedSignalPresence, Наличие сигнала о скорости движения автомобиля
        SteeringWheelRotationAngleDataPresence, Наличие индикации угла поворота рулевого колеса
        SteeringElectropumpTemperature, Температура электронасоса рулевого управления
        CylinderCoilChargeTime1, Время заряда катушки цилиндра 1
        CylinderCoilChargeTime2, Время заряда катушки цилиндра 2
        CylinderCoilChargeTime3, Время заряда катушки цилиндра 3
        CylinderCoilChargeTime4, Время заряда катушки цилиндра 4
